Company Name,Total Worldwide Box Office
Ideaman Studios,"$2,769,782"
Scared Sheetless,"$2,769,782"
Les Films du Worso,"$21,047,720"
Natixis Coficine,"$10,353,488"
Creasgr,"$10,353,488"
Diagonal TV,"$10,353,488"
Saarlandischer Rundfunk,"$10,353,488"
Telecable,"$10,353,488"
Department de cultura de la Generalitat de Catalunya,"$10,353,488"
Bling Unplugged,"$17,485,687"
Opposite Field Pictures,"$1,908,425"
Topple Entertainment,"$1,908,425"
Boxspring Entertainment,"$1,908,425"
Sri Venkateswara Creations,"$1,899,813"
Cambridge Pictures Co.,"$12,552,365"
Kep Entertainment,"$1,579,440"
Vintage Pictures,"$4,958,147"
Crazy Films,"$2,435,284"
Moving Art,"$1,672,211"
Rock Island Films,"$2,940,218"
Margaritz Productions,"$2,940,218"
Fortysixty,"$2,940,218"
Eyeworks,"$6,244,429"
Ultimate Pictures,"$21,722,482"
The Documentary Group,"$2,007,420"
Concept Entertainment,"$8,038,792"
Monkey Hill Films,"$1,559,556"
Tenaja,"$1,559,556"
Monarch Pictures,"$1,559,556"
"One Media, LLC","$1,557,494"
"Number 1 Films, LLC","$1,557,494"
"Indieproduction, LLC","$1,557,494"
Metro Communications,"$9,684,206"
New York Times,"$2,883,432"
Vanishing Angle,"$1,954,150"
Downes Brothers Productions,"$1,553,737"
Coop99,"$12,398,256"
Artists Public Domain,"$2,426,338"
Atlas Films,"$1,546,228"
Familystyle,"$5,865,489"
Ferocious Attack Cow,"$20,289,666"
Three Coin Productions,"$1,531,934"
Filmmek,"$14,851,654"
"Girlfight, Inc.","$1,523,941"
Arenamedia,"$26,616,822"
Motion Blur,"$21,846,391"
Henrik Bergesen,"$21,572,102"
Aircontactgruppen,"$21,572,102"
Solbakken,"$21,572,102"
Roenbergfilm,"$21,572,102"
Ibermedia,"$5,999,582"
Suretone Pictures,"$1,601,261"
Rouge International,"$7,335,523"
UP2U Films,"$1,511,980"
Self-Realization Fellowship,"$2,083,186"
First Thought Films,"$2,254,254"
Ravine Pictures,"$3,596,550"
S Films,"$13,544,120"
Det Danske Filminstitut,"$15,860,372"
Department of Motion Pictures,"$2,315,026"
Minorodningen Alamode Filmverleih,"$8,784,707"
Media One Global,"$3,865,441"
Insceal,"$6,261,595"
Radiate Films,"$1,499,605"
Pandora Cinema,"$14,529,301"
Artists Equity,"$7,346,836"
SRG,"$26,345,732"
Madeleine,"$6,290,338"
Missing Link Films,"$11,345,970"
Headgear Films,"$12,024,126"
Media Finance Capital,"$2,785,873"
Ad Vitam,"$28,191,894"
Mar-Key Pictures,"$3,327,769"
"Salem Media Group, Inc.","$1,465,512"
RLJ Entertainment,"$2,620,491"
Darius Films,"$3,245,665"
Road Movies,"$6,299,062"
North West Vision,"$7,785,229"
Bob & Co,"$17,610,797"
SSS Film Capital,"$1,956,817"
That's Wonderful Productions,"$1,539,440"
Creativity Capital,"$4,469,880"
Atlantic Pictures,"$2,402,768"
Wild Idea,"$1,436,324"
Highway Films,"$1,699,809"
Ministry of Propaganda Films,"$1,699,809"
Pershing Square Foundation,"$1,856,111"
Gigi Films,"$1,989,035"
Island Bound Productions,"$1,989,035"
Movie Central,"$7,835,166"
FIDECINE,"$9,356,364"
TFC at the Movies,"$1,575,859"
Catalyst Global Media,"$18,301,324"
Belgacom,"$5,656,434"
Noruz Films,"$1,990,307"
Werc Werk Works,"$1,817,680"
Ibid Filmworks,"$1,530,039"
SSR,"$24,442,207"
VisionChaos Productions,"$1,737,406"
Parliament of Owls,"$1,737,406"
Lemon Films,"$9,330,465"
Via Media,"$9,330,465"
Hangar18,"$1,398,975"
Buffalo Film Company,"$6,543,832"
RSI Radiotelevisione Svizzera,"$7,211,890"
Treetop Productions,"$16,814,803"
Base Industries Group,"$2,010,478"
Proton Cinema,"$1,915,137"
Semi-Formal,"$1,477,571"
Pinnacle Films,"$1,498,088"
Paulist Productions,"$1,462,977"
Gambit Films,"$2,572,088"
Film Capital Europe Funds,"$3,226,707"
10th Hole Productions,"$2,571,741"
Aperture Entertainment,"$3,482,184"
JBJ Film,"$4,299,600"
Patrick Quinet,"$5,455,736"
Toscana Film Commission,"$5,455,736"
Programme Media de la Communaute Europeenne,"$5,455,736"
Soficinema 5,"$5,455,736"
GG Filmz,"$4,655,147"
Take 3,"$7,106,637"
The Salt Company,"$9,672,000"
Arcadia Motion Pictures,"$11,339,663"
Shenzhen Tencent Video Culture Communication LTD.,"$336,469,621"
Strange Cavern,"$1,481,211"
Section Perspective,"$1,481,211"
FIP Malta,"$5,965,646"
Tulchin Enterainmnet,"$5,965,646"
Foreign Media,"$5,965,646"
Corrino,"$5,965,646"
Film Finance VI,"$5,965,646"
Staccato,"$5,965,646"
Desert Wolf Productions,"$7,265,283"
MGC,"$7,265,283"
Ronald Krauss,"$1,359,910"
Office ApS,"$3,915,566"
Buffalo 8 Productions,"$3,784,051"
Rival Pictures,"$1,357,042"
Melusine Productions,"$13,092,563"
Bow & Arrow,"$1,816,594"
Cine Boutique Entertainment,"$2,992,880"
Aron Govil Productions,"$2,992,880"
Pyramide Productions,"$17,698,356"
Silver Lion Films,"$1,349,284"
Hool Brothers,"$1,349,284"
IDG China Creative Media Limited,"$11,348,205"
Big Feet Productions,"$11,348,205"
Solares delle arti,"$14,543,275"
Les Amis de la Maison Europeenne de la Photographie,"$14,543,275"
Amazonas Images,"$14,543,275"
Sky,"$6,365,287"
Redline Entertainment,"$1,756,349"
Rectangle Productions,"$4,429,776"
Río Negro,"$1,339,911"
Barracuda Films,"$1,339,911"
SPE Films India,"$16,765,212"
Capitol Films,"$9,741,321"
Les Films Seville,"$4,492,527"
Space Rocket Nation,"$3,569,571"
Nicolas Winding Refn,"$3,559,803"
GMT Productions,"$2,307,991"
Proimagenes Colombia,"$4,787,818"
Dago Garcia,"$4,787,818"
CNACC,"$4,787,818"
Caracol Television,"$4,787,818"
Norte Sur,"$4,787,818"
MC Producciones,"$4,787,818"
ReelWorks Studios,"$1,327,841"
Rick Eldridge,"$1,327,841"
Viva Films,"$7,324,279"
CED Productions,"$1,489,158"
Film Incito,"$1,358,222"
Illuminati Films,"$21,049,597"
Cinemage 9,"$17,252,779"
Atlas Distribution Company,"$1,322,045"
China Film Investment Fund,"$88,134,915"
Double Play Production,"$1,312,473"
Nord-Quest Films,"$36,706,683"
Kino Lorber,"$8,799,961"
Strategic Motion Ventures,"$14,290,742"
"Maysles Films, Inc.","$2,515,266"
Czech Sirena Film,"$3,804,977"
German Detail Film,"$3,804,977"
Clifford Ross Company,"$1,305,187"
Fulcrum Media Finance,"$12,216,217"
Pergamon Film,"$9,047,654"
Shannan Enlight Pictures Co.,"$315,183,381"
Beijing Jinglin Saisi Culture Broadcast Company,"$237,273,381"
Joy Leader,"$237,273,381"
Under the Influence Productions,"$1,533,483"
X Filme International,"$8,200,127"
Tartan Films,"$8,200,127"
Ana Media,"$4,659,110"
Dangerous Documentaries,"$1,291,514"
Madison McQueen,"$1,291,514"
Beijing Mahua Funage Company,"$674,252,946"
Beijing Fun Age Pictures,"$213,949,747"
New Classics Pictures,"$213,949,747"
Eficine,"$7,918,329"
B.A. Entertainment,"$86,444,617"
Cinema Libre Studio,"$6,408,524"
William Teitler Productions,"$1,560,464"
Crab Apple Films,"$4,377,258"
Kartemquin Films,"$1,353,452"
Elephant Doc,"$2,826,476"
Petit Dragon,"$2,826,476"
Unbeldi Production,"$2,826,476"
Greenestreet Films,"$1,259,357"
Code Entertainment,"$7,099,200"
Moving Pictures Media,"$2,981,724"
Time Based Arts,"$2,763,401"
Misfits Entertainment,"$2,696,131"
Docler Entertainment,"$1,834,475"
Degeto Film,"$20,255,821"
ICAA,"$13,039,603"
AdScott,"$1,386,088"
Alfama Films,"$9,498,599"
Credix,"$7,738,470"
BoBo Producciones,"$7,738,470"
Firelight Productions,"$2,127,082"
VOO ET BETV,"$59,187,027"
Intuitive Pictures,"$3,178,064"
Artemis Rising Films,"$1,745,647"
Fly Film,"$4,083,881"
Garth H. Drabinsky,"$1,246,141"
Joel B. Michaels,"$1,246,141"
Skouras Pictures,"$1,244,000"
Joe's Daughter,"$4,863,332"
Wavelength Films,"$1,270,801"
Burns Family Studios,"$1,236,094"
London Films,"$1,774,317"
Lailaps Pictures,"$8,553,603"
The Apocalypse Film Company,"$3,633,651"
Southern Lights Films,"$6,211,485"
Sofica Hoche Artois Images,"$5,969,923"
Rapsodie Productions,"$5,969,923"
Useful Productions,"$5,969,923"
YLE Finland,"$14,102,262"
Gesher Multicultural Film Fund,"$3,046,158"
Aeroplan Films,"$11,241,236"
Angoa Intl,"$23,025,667"
TVP S.A.,"$1,406,823"
Big Film Factory,"$1,243,263"
Projected Picture Works,"$1,313,614"
Amber Entertainment,"$1,648,824"
Om Films,"$1,207,902"
Friland Film,"$20,207,102"
Northern Ontario Heritage Fund Corporation,"$2,745,130"
Haunted Movie,"$3,642,950"
Roxbury Films,"$10,222,649"
Gettin' Rad Productions,"$1,257,437"
Keeper Pictures,"$1,500,003"
Vice Studios,"$2,898,837"
Beachside,"$3,893,170"
Quiver Distribution Inc.,"$1,544,415"
Entract Studios,"$1,374,245"
FINA,"$1,374,245"
MKIDN,"$1,374,245"
K&K Film Selekt,"$1,374,245"
Juntobox Films,"$1,194,961"
Noodles Production,"$9,573,542"
Fullscreen Films,"$1,405,548"
YouTube Red,"$1,405,548"
Rooster Teeth,"$1,405,548"
The Pimenta Film Company,"$2,137,791"
Ulrich Seidl Film,"$2,760,932"
Film Fund Luxembourg,"$19,197,576"
Waters End Productions,"$2,527,441"
Kew Media Group,"$2,764,831"
Baron Films,"$8,871,511"
Cartoon Saloon,"$16,057,909"
Cinematic,"$1,169,603"
Moxie Pictures,"$1,169,224"
National Endowment for the Humanities,"$1,593,768"
The Silk Road Project,"$1,593,768"
Holly Wiersma,"$7,713,345"
Khorgos Youth Enlight Pictures,"$259,939,708"
Autism Media Channel,"$1,215,647"
Del Bigtree,"$1,215,647"
Sandbox Films,"$3,069,360"
JWH Films,"$2,757,379"
Swarovski Entertainment,"$1,226,031"
See Pictures,"$8,304,555"
SVS Inc,"$1,161,135"
Paprika Financing,"$1,166,902"
Burke,"$1,160,349"
Rainmaker Films,"$1,160,349"
Cinefrance 1888,"$6,019,738"
Autumn Productions,"$5,082,246"
Godspeed Pictures,"$1,166,052"
The Matadors,"$1,166,052"
R&K,"$90,498,430"
ABO Entertainment,"$78,611,756"
Zhejiang Huace Films & TV Co.,"$53,428,454"
Three Coloured Dog Films,"$1,728,152"
Fine Point Films,"$5,083,004"
Coimisium Na Mean,"$4,827,218"
Mother Tongues Films,"$4,562,332"
Wildcard,"$4,562,332"
Naughty Step,"$4,562,332"
Sophie Dulac,"$9,145,790"
Discovery Films,"$2,175,587"
Dox Productions,"$2,175,587"
Evolution Entertainment,"$2,632,516"
iFeatures,"$7,074,723"
Oldgarth Media,"$7,030,051"
Ace Pictures,"$1,432,369"
Sixty Six Pictures,"$6,477,294"
Level Forward,"$1,729,235"
Dark Harbor Stories,"$15,987,330"
Camberwell,"$3,852,164"
Artifical Eye,"$3,852,164"
BA Entertainment,"$105,176,931"
Cumulus VFX,"$2,420,754"
Spectrum Entertainment,"$2,308,080"
PZAJ,"$1,125,010"
Called Higher Studios,"$1,125,010"
Erfttal Film-Und Fernsehproduktion,"$2,918,799"
Star Gate Films,"$2,918,799"
Cottage M,"$3,026,260"
ICO,"$5,226,480"
Magenta Light,"$4,639,537"
Sunstone Film Productions,"$4,639,537"
Le Pacte,"$29,784,029"
The Post Republic,"$3,555,579"
Good Worldwide,"$1,744,952"
BZ Entertainment,"$1,744,952"
Yoki,"$3,180,252"
Elevate the Game Entertainment,"$1,103,037"
JJ HoMEward Productions,"$1,700,529"
Bellmer Pictures,"$1,700,529"
Forensic Films,"$1,700,529"
CRRAV Nord-Pas de Calais,"$23,176,221"
Deux Beaux Garcons Films,"$2,812,328"
UKFC,"$15,644,196"
BMS Finance,"$15,644,196"
Spitfire Pictures,"$1,141,168"
Arsam Intl.,"$4,058,632"
Ministry of Culture of the Russian Federation of the Cinema Fund and RuArts foundation,"$3,736,943"
Elevated,"$14,846,085"
Keshet,"$1,254,820"
Gowanus Projections,"$1,143,922"
Gathr,"$1,081,249"
Zero One Film,"$13,603,433"
Radius TWC,"$5,304,960"
Lyla Films,"$4,589,621"
Feel Films,"$1,119,836"
Pinehouse Film,"$8,483,638"
Amka Films,"$6,414,601"
Vladar Company,"$1,126,649"
Present Company,"$1,090,496"
Heyi Pictures,"$340,515,278"
Amalga,"$1,070,470"
Ten Furlongs,"$1,069,454"
Nfoke,"$4,020,990"
Mount Santa Fe,"$4,020,990"
Audiovisual SGR,"$4,020,990"
N-Focus Productions,"$4,020,990"
A3 Films,"$4,020,990"
Les Cinemas de la Zone,"$2,720,084"
Koda Entertainment,"$1,288,439"
Kenn Viselman Presents,"$1,065,907"
A Plus Image,"$10,708,411"
Harvey Boys,"$1,983,596"
NVSH Productions,"$1,983,596"
Highway 61,"$2,134,564"
FilmFyn,"$16,346,557"
Living the Dream Films,"$4,099,450"
Cinema Herodiade,"$9,380,832"
Synchronistic Pictures,"$3,942,264"
Red Mullet Productions,"$1,057,750"
Sundance Channel,"$1,407,654"
Bord Cadre,"$5,605,127"
Anil Kapoor Film Company,"$1,243,693"
Johnny Mac,"$1,766,703"
David Hansen,"$1,766,703"
Jellyfish Bloom,"$1,766,703"
Cine Cinema,"$23,134,075"
Soficinema,"$23,134,075"
Groupe Un,"$23,134,075"
Cofimage 16,"$23,134,075"
Cofinova 1,"$23,134,075"
Les Productions de la Gueville,"$23,134,075"
Uniétoile 2,"$23,134,075"
Sat.1,"$23,134,075"
Sogécinéma 3,"$23,134,075"
Pacific Northwest Pictures,"$2,516,652"
Snowfort Pictures,"$1,795,603"
Magic Child,"$3,754,539"
VB Pictures,"$7,173,421"
Carver Films,"$3,640,329"
Filmadora Nacional,"$1,488,260"
Iwood Studios,"$2,070,840"
Atwater Capital,"$1,309,971"
Dark Trick Films,"$21,270,290"
Showtime Australia,"$8,078,683"
DFI,"$16,321,585"
Adirondack Pictures,"$1,057,128"
Excalibur Pictures,"$1,057,128"
Santosh Sivan Productions,"$1,057,128"
Lightstream Pictures,"$6,211,743"
RCR Media Group,"$1,200,652"
Solar Filmworks,"$1,199,510"
Maddock Films,"$9,038,361"
Live Films,"$1,031,420"
Carnegie Pictures,"$1,031,420"
Muskat Filmed Properties,"$2,783,271"
Sunny-Field Entertainment,"$2,084,815"
Casa Kafka Pictures,"$7,522,023"
CIM Productions,"$2,338,242"
Brock Media,"$4,614,488"
Weydemann Bros.,"$4,614,488"
FFA Filmforderungsanstalt,"$4,614,488"
12-Gauge Productions,"$1,078,064"
Fourth & Twenty8Films,"$2,490,604"
Gloss Studio,"$1,285,277"
Taewon Entertainment,"$49,196,532"
Belga Productions,"$5,245,764"
Latitude Entertainment,"$4,392,594"
Manu Propria Entertainment,"$4,392,594"
RUV,"$5,503,634"
Filmfinance XII,"$2,143,209"
Volten,"$2,089,310"
Red Moon Films Inc,"$1,018,965"
Stan Winston Productions,"$1,018,965"
Skinwalkers DCP Inc,"$1,018,965"
Entourage Pictures,"$17,029,964"
Invisible Pictures,"$1,035,956"
Fify Seventh Street Productions,"$1,018,532"
Riva Filmproduktion,"$1,288,310"
Southland Studios,"$1,016,725"
Liam Films,"$1,665,705"
Moving Image Development Agency,"$1,665,705"
Twin Media,"$68,707,119"
Art Pictures Studio,"$68,707,119"
First Love Films,"$1,108,974"
WestEnd Films,"$11,466,339"
MisoFilm,"$1,591,161"
MediaHouse,"$1,415,896"
BR,"$8,749,022"
Altar Identity Studios,"$1,013,487"
Playtime,"$20,948,273"
NFTF,"$15,867,314"
Mecanismo Films,"$4,590,814"
Katapult Film,"$1,210,672"
Mago Media,"$1,266,454"
Lisa Immordino,"$1,266,454"
01 Distribution,"$4,896,311"
Ufficio Federale Della Cultura,"$4,682,963"
Institut Francais Ministero Della Culture - Direzione Generale Cinema E Audiovisivo,"$4,682,963"
Oak Water Films,"$1,004,105"
Syncopated Films,"$1,262,555"
Redbox Entertainment,"$1,613,437"
Apocalypse Pictures,"$4,935,994"
Take Partnerships,"$4,727,375"
Xuxa,"$1,000,626"
Superlative Productions,"$2,641,819"
King Feature Syndicate,"$1,275,543"
TVC London,"$1,275,543"
Smith Global Management,"$993,303"
SpectreVision,"$1,881,686"
Elzevir & Compagnie,"$1,148,619"
TeaTime Pictures,"$1,083,115"
Raindrop Valley,"$1,083,115"
Belfius Zielke Strat Et Go International,"$5,925,000"
Escapology,"$986,324"
Evenstar Films,"$1,876,798"
Sony BMG Music Entertainment,"$2,389,233"
Shaw Rocket Fund,"$9,216,080"
Primitive Nerd,"$1,869,928"
Film Science,"$1,869,928"
Harmony Productions,"$1,869,928"
Palatine Etoile 12,"$8,561,236"
Iberville Productions,"$22,478,138"
Edge City Films,"$2,223,368"
Thrid Mind Pictures,"$1,540,340"
NHK,"$10,846,239"
Cinema Projects,"$1,704,943"
Our Time Projects,"$1,484,825"
Abramorama,"$1,492,699"
The Lagralane Group,"$2,604,852"
Fourth Culture Films,"$1,585,947"
The Ciesla Foundation,"$953,449"
Social Animals,"$4,013,278"
Cine Tamaris,"$4,013,278"
Parkville Pictures,"$2,141,435"
Louverture Films,"$2,620,131"
Smoking Gun Productions,"$7,482,387"
Anthos Media,"$948,126"
Werner Herzog,"$1,130,920"
The Space Program,"$1,637,531"
Palatine Etoile 11,"$10,880,776"
Tango Films,"$1,459,062"
IQIYI Motion Pictures,"$221,332,853"
Focus Features International,"$44,909,985"
The Group Entertainment,"$944,753"
Wear it in Good Health,"$940,854"
DSP,"$1,221,818"
Worlds End Pictures,"$1,221,818"
Salem Street Entertainment,"$963,587"
Gamechanger,"$1,204,926"
Reborn Productions,"$10,239,663"
AZ Films,"$7,148,079"
Le Vision,"$242,483,322"
Le Centre National du Cinema et de L'Image,"$4,876,828"
Sohail Khan Productions,"$38,788,123"
Five & Two Pictures,"$934,588"
Christiano Film Group,"$934,588"
Icon Film Distribution,"$4,209,425"
Visionview Production,"$2,682,600"
Doubting Hall Limited,"$2,682,600"
Sedic International Inc.,"$18,856,097"
High Frequency Entertainment,"$2,332,736"
Skyline Productions,"$3,766,479"
Belvision,"$13,513,056"
Region Wallonne,"$6,712,903"
CN4 Productions,"$6,712,903"
Region Poitou-Charentes,"$6,712,903"
Mom and Dad,"$919,785"
Motion Picture Partners International,"$3,282,269"
British Media Fund International,"$3,282,269"
Wing and a Prayer Pictures,"$1,392,497"
Electric Eye Entertainment,"$915,840"
Teorema,"$3,040,406"
Icelandic Film Centre,"$5,411,248"
RTP,"$7,762,561"
Big Punch Pictures,"$79,615,417"
Hong Film,"$79,615,417"
Periscope Entertainment,"$1,089,534"
First Position Films,"$1,909,901"
SFFILM Documentary Film Fund,"$1,376,546"
Canon International,"$902,000"
Breton Film Productions,"$902,000"
Sridevi Movies,"$934,922"
Media Ranch Productions,"$940,936"
Fin & Fur Productions,"$1,121,034"
Power of 3,"$890,303"
BBC Arena,"$3,044,515"
Field Day Productions,"$3,044,515"
Zee Studios,"$13,967,761"
Friday Filmworks,"$1,678,538"
Plan C Studios,"$1,620,212"
Kriarj Entertainment,"$1,469,794"
Bona Entertainment Company,"$531,782,278"
Stick Figure Studios,"$2,133,717"
Final Cut For Real,"$3,362,833"
Les Film du Wurso,"$6,251,999"
Laila Film,"$1,274,536"
Film Base Berlin,"$1,274,536"
Warner Music UK,"$9,160,046"
Three Dogs and a Pony,"$8,902,141"
Becker Films International,"$8,902,141"
NorthSee,"$8,902,141"
IFF/CINV,"$8,902,141"
Thomasville Pictures,"$1,187,286"
Celeste Films,"$870,063"
PF Productions,"$869,838"
Rogers Documentary Fund,"$978,478"
Madman Entertainment,"$5,567,958"
Jiangsu Wenhua Dongrun Film and TV Culture,"$236,445,274"
Corona Films,"$928,372"
Gulldrengurinn,"$4,242,611"
Bonjour Pictures!,"$4,584,370"
Rialto Pictures,"$1,014,512"
Superprod,"$9,371,908"
Norlum,"$9,371,908"
Big Farm,"$9,371,908"
Mact Productions,"$16,884,255"
Rumble Riot Pictures,"$864,907"
Redbrick Filmworks,"$855,765"
The Interpreter Foundation,"$855,765"
Available Light,"$852,362"
VPRO,"$2,833,755"
10x10,"$849,484"
Intel,"$849,484"
Cofinova 14,"$7,777,340"
AgX,"$862,494"
Hamilton-Mehta,"$1,638,655"
Noble Nomad,"$1,638,655"
Jour2Fete,"$5,621,301"
Macedonia’s Film Agency,"$2,948,349"
Spring Films LTD,"$1,916,334"
Ukranian State Film Agency,"$7,503,300"
SENA,"$5,067,317"
CNC Nouvelles Technologies en Production,"$4,230,717"
Camera Film A/S,"$4,230,717"
Ministry of Culture of Ukraine,"$4,230,717"
Solar Media Entertainment,"$4,230,717"
Koggull Filmworks,"$4,230,717"
Potemkine Films,"$4,230,717"
Indigenous Films,"$853,297"
Kinologic Films,"$33,247,663"
Vistamar,"$5,552,584"
Uhland Film,"$5,552,584"
BAM Film,"$5,552,584"
Pola Pandora,"$4,882,256"
Agile Films,"$3,702,846"
Ruminant Films,"$842,693"
Authentic Management Project,"$842,693"
Oakhurst Entertainment,"$856,414"
Wonder Street,"$7,362,618"
Shadowplay Features,"$7,362,618"
Bay Point Media,"$933,159"
Media House Capital,"$2,198,775"
Camera One,"$848,844"
SFFILM Invest,"$1,269,163"
Shin-Ei Animation,"$2,080,890"
Austrian Film Institute,"$2,954,354"
Novo RPI,"$827,084"
Studio Khara,"$93,440,870"
Runaway Train,"$899,001"
Made Up Stories,"$30,853,499"
"China Film International Media Co., LTD","$46,942,334"
Reframed Pictures,"$1,035,493"
Ventureland,"$956,624"
Apolo Media,"$1,251,963"
Trice Films,"$1,251,963"
Swiss Agency for Development and Cooperation SDC,"$1,251,963"
Nature Conservation Programme in Macedonia,"$1,251,963"
Pharmachem,"$1,251,963"
Project of the Swiss Agency for Cooperation and Development,"$1,251,963"
Jenkins Entertainment,"$814,906"
Indie Invest,"$12,055,422"
Claussen,"$4,934,509"
Putz Filmproduktion,"$4,934,509"
Katlei Productions,"$819,245"
Hopscotch Productions,"$3,209,752"
Page 124 Productions,"$809,590"
Kevin Hanlon,"$809,590"
Through Films,"$1,040,792"
Razor Films,"$4,335,425"
DFFF,"$1,494,717"
Alchemy,"$3,866,582"
TV Asahi Corporation,"$19,950,260"
Rakueisha Co.,"$18,727,440"
Lunch Box Entertainment,"$809,437"
"Film, Inc.","$35,609,486"
Pie Films,"$2,683,823"
Stray Bear Films,"$3,576,575"
Cannon International,"$800,000"
Mitteldeutsche Medienfoerderung,"$10,329,789"
Enthuse,"$795,755"
"Ayna, LLC","$795,755"
Katahdin Productions,"$796,343"
Naked Eye Filmproduction,"$4,917,315"
Wobke,"$4,917,315"
FFA,"$3,830,351"
Science Saru,"$5,128,246"
Culture Media,"$55,755,927"
Epitome Capital,"$46,967,850"
Beijing Startime Cinema Investment,"$45,986,345"
Wuxi Jingli Cinema Management,"$45,986,345"
Cultural Investment Holdings,"$45,986,345"
Shanghai Insane Media,"$45,986,345"
Shenzhen Media Film and Television,"$45,986,345"
Horgos Lix Entertainment,"$45,986,345"
Jujiang Province,"$45,986,345"
Peoples Daily Digital Communication,"$45,986,345"
Shenzhen Bigwill Culture Communication,"$45,986,345"
Zhujiang Film Group,"$45,986,345"
Horgos Skyworth,"$45,986,345"
Shanghai Lix Entertainment,"$45,986,345"
MFG Film Funding Baden Wuerttemberg,"$1,444,673"
Zentropa International Sweden,"$20,310,312"
Roger Berlind Productions,"$790,000"
Sacher Film,"$34,924,777"
Thin Ice Productions,"$789,752"
Thanet Natisri,"$912,056"
Santipong Changpuak,"$912,056"
20th Century Fox Intl,"$51,521,990"
Side Mirror,"$51,521,990"
Asia Pacific Films,"$433,676,875"
MoviePass,"$2,354,017"
Mockingbird Pictures,"$2,628,354"
Spectacle Entertainment,"$922,727"
Spookhouse International,"$922,727"
Sundance Institute Documentary Film Program,"$1,106,973"
Mill House Motion Pictures,"$856,297"
Injo Films Limited,"$188,744,961"
HuangBo Studio,"$188,744,961"
Les Films Marceau,"$773,812"
Black Spark Film and TV,"$2,062,014"
Karnfilm,"$2,062,014"
Mansa Productions,"$1,161,083"
Nekisa Cooper,"$769,552"
Northstar Pictures,"$769,552"
Aid + Abet,"$769,552"
Leopardo Filmes,"$7,051,142"
Paulo Branco,"$6,888,535"
Films Boutique,"$2,386,157"
James Franco,"$1,156,309"
Third Day Productions,"$958,728"
Oxymoron Entertainment,"$765,016"
New Real Films,"$2,154,838"
Israel Film Council,"$1,127,915"
Lumanity,"$2,649,396"
Black Hangar Studio,"$2,150,537"
Mallick Media,"$754,301"
Pumpernickel Films,"$961,184"
Israel Ministry of Culture and Sport,"$938,846"
Oxwich Media,"$5,296,258"
Hanley Productions,"$749,741"
Wyamn Productions,"$749,741"
Seneca,"$749,741"
Hemetof Pictures,"$2,536,707"
Water & Power Productions,"$4,020,763"
Ostar Enterprises,"$872,368"
Unbound Feet Productions,"$746,450"
The Film Farm,"$2,241,609"
Ego Film Arts,"$1,113,792"
Sometime Productions,"$744,812"
Paradise City,"$2,433,829"
Azevedo Studios,"$744,046"
Martin Katz,"$6,860,624"
Talandracas Pictures,"$6,860,624"
Studio Pierrot,"$24,416,478"
Terminal City Pictures,"$1,559,113"
Saalgo Productions,"$1,557,507"
Sprockefeller Pictures,"$5,465,271"
Low Key Pictures,"$2,446,571"
Channel 8,"$1,218,800"
Fortissimo Films,"$5,872,664"
Globo Filmes,"$6,238,764"
Balaji Motion Pictures,"$1,500,795"
Bluestone Entertainment,"$767,892"
Filmsquad,"$767,892"
Astral Pictures,"$767,892"
Szechenyi Funds Ltd,"$767,892"
POV,"$1,093,307"
Khara Corp,"$57,845,005"
Quixote Films,"$2,440,345"
Eastcroft Productions,"$2,440,345"
SND,"$49,581,978"
Panache Productions,"$63,620,782"
Thrillion Dollar Movie,"$731,549"
P2 Films,"$734,596"
Courage Mon Amour,"$2,099,662"
Room 5 Films,"$968,313"
Sunshine Pictures,"$7,366,187"
Max Cap,"$727,430"
Three Six Zero,"$1,288,571"
Speakit Films,"$1,670,985"
Zentropa Entertainments19,"$19,811,055"
ESX Entertainment,"$725,514"
Forrest Films,"$725,042"
WY Productions,"$1,493,340"
Sunset Pictures,"$743,551"
9.14 Pictures,"$721,089"
Magnet Releasing,"$16,022,085"
GGV Arthouse,"$8,127,489"
Kiwi Media Group Co Ltd,"$8,127,489"
Nowfilm,"$8,127,489"
Detalle Films,"$2,184,808"
Gravitas Ventures,"$8,675,574"
LINK Entertainment,"$1,147,050"
Amour Fou Luxembourg,"$7,357,740"
Heimafilm,"$7,219,785"
Cinecap,"$3,674,639"
Indefilms 6,"$3,674,639"
Off Media,"$711,951"
Sofitcine,"$6,703,981"
Rep Productions 6,"$2,663,713"
Virtuso Productions,"$2,663,713"
Tempete Sousun Crane,"$14,835,792"
Yoo.com,"$194,058,503"
Global Star Productions,"$194,058,503"
Filmko Film Co,"$194,058,503"
Fanoy Planet Entertainment,"$194,058,503"
Golden Shores Films,"$194,058,503"
HG Entertainment,"$194,058,503"
Luxun Group,"$194,058,503"
La Banque Postale Image 11,"$5,719,349"
LGM Films,"$9,231,100"
Raptor Films,"$2,046,110"
Alton Road Productions,"$834,580"
Alvy Productions,"$8,701,319"
Cooper's Town,"$718,303"
K.R. Productions,"$9,230,157"
Orange Cinema Series,"$41,390,302"
Zhejiang Bona,"$508,057,805"
E Mei Film Group,"$433,168,672"
Television Media,"$433,168,672"
Inner Mongolia Film Group,"$433,168,672"
Xiu Shanfang Culture and Art Company,"$433,168,672"
Beijing Huaming Xingkong International Media,"$433,168,672"
Zhongzhi Enterprise Group,"$433,168,672"
